run_number,source_period,target,beam_type,group,classification_source,source_file
1321,1998_uv,P,UV,P_UV,manual,1998_uv/run1321.root
1322,1998_uv,P,UV,P_UV,manual,1998_uv/run1322.root
1324,1998_uv,P,UV,P_UV,manual,1998_uv/run1324.root
1325,1998_uv,P,UV,P_UV,manual,1998_uv/run1325.root
1326,1998_uv,P,UV,P_UV,manual,1998_uv/run1326.root
1328,1998_uv,P,UV,P_UV,manual,1998_uv/run1328.root
1329,1998_uv,P,UV,P_UV,manual,1998_uv/run1329.root
1330,1998_uv,P,UV,P_UV,manual,1998_uv/run1330.root
1331,1998_uv,P,UV,P_UV,manual,1998_uv/run1331.root
1332,1998_uv,P,UV,P_UV,manual,1998_uv/run1332.root
1333,1998_uv,P,UV,P_UV,manual,1998_uv/run1333.root
1334,1998_uv,P,UV,P_UV,manual,1998_uv/run1334.root
1335,1998_uv,P,UV,P_UV,manual,1998_uv/run1335.root
1336,1998_uv,P,UV,P_UV,manual,1998_uv/run1336.root
1337,1998_uv,P,UV,P_UV,manual,1998_uv/run1337.root
1339,1998_uv,P,UV,P_UV,manual,1998_uv/run1339.root
1340,1998_uv,P,UV,P_UV,manual,1998_uv/run1340.root
1341,1998_uv,P,UV,P_UV,manual,1998_uv/run1341.root
1342,1998_uv,P,UV,P_UV,manual,1998_uv/run1342.root
1343,1998_uv,P,UV,P_UV,manual,1998_uv/run1343.root
1344,1998_uv,P,UV,P_UV,manual,1998_uv/run1344.root
1345,1998_uv,P,UV,P_UV,manual,1998_uv/run1345.root
1346,1998_uv,P,UV,P_UV,manual,1998_uv/run1346.root
1347,1998_uv,P,UV,P_UV,manual,1998_uv/run1347.root
1348,1998_uv,P,UV,P_UV,manual,1998_uv/run1348.root
1350,1998_uv,P,UV,P_UV,manual,1998_uv/run1350.root
1352,1998_uv,P,UV,P_UV,manual,1998_uv/run1352.root
1353,1998_uv,P,UV,P_UV,manual,1998_uv/run1353.root
1354,1998_uv,P,UV,P_UV,manual,1998_uv/run1354.root
1355,1998_uv,P,UV,P_UV,manual,1998_uv/run1355.root
1356,1998_uv,P,UV,P_UV,manual,1998_uv/run1356.root
1357,1998_uv,P,UV,P_UV,manual,1998_uv/run1357.root
1358,1998_uv,P,UV,P_UV,manual,1998_uv/run1358.root
1359,1998_uv,P,UV,P_UV,manual,1998_uv/run1359.root
1360,1998_uv,P,UV,P_UV,manual,1998_uv/run1360.root
1361,1998_uv,P,UV,P_UV,manual,1998_uv/run1361.root
1362,1998_uv,P,UV,P_UV,manual,1998_uv/run1362.root
1363,1998_uv,P,UV,P_UV,manual,1998_uv/run1363.root
1364,1998_uv,P,UV,P_UV,manual,1998_uv/run1364.root
1365,1998_uv,P,UV,P_UV,manual,1998_uv/run1365.root
1366,1998_uv,P,UV,P_UV,manual,1998_uv/run1366.root
1367,1998_uv,P,UV,P_UV,manual,1998_uv/run1367.root
1368,1998_uv,P,UV,P_UV,manual,1998_uv/run1368.root
1369,1998_uv,P,UV,P_UV,manual,1998_uv/run1369.root
1370,1998_uv,P,UV,P_UV,manual,1998_uv/run1370.root
1371,1998_uv,P,UV,P_UV,manual,1998_uv/run1371.root
1372,1998_uv,P,UV,P_UV,manual,1998_uv/run1372.root
1373,1998_uv,P,UV,P_UV,manual,1998_uv/run1373.root
1374,1998_uv,P,UV,P_UV,manual,1998_uv/run1374.root
1375,1998_uv,P,UV,P_UV,manual,1998_uv/run1375.root
1376,1998_uv,P,UV,P_UV,manual,1998_uv/run1376.root
1377,1998_uv,P,UV,P_UV,manual,1998_uv/run1377.root
1379,1998_uv,P,UV,P_UV,manual,1998_uv/run1379.root
1380,1998_uv,P,UV,P_UV,manual,1998_uv/run1380.root
1381,1998_uv,P,UV,P_UV,manual,1998_uv/run1381.root
1382,1998_uv,P,UV,P_UV,manual,1998_uv/run1382.root
1383,1998_uv,P,UV,P_UV,manual,1998_uv/run1383.root
1385,1998_uv,P,UV,P_UV,manual,1998_uv/run1385.root
1386,1998_uv,P,UV,P_UV,manual,1998_uv/run1386.root
1387,1998_uv,P,UV,P_UV,manual,1998_uv/run1387.root
1388,1998_uv,P,UV,P_UV,manual,1998_uv/run1388.root
1389,1998_uv,P,UV,P_UV,manual,1998_uv/run1389.root
1390,1998_uv,P,UV,P_UV,manual,1998_uv/run1390.root
1391,1998_uv,P,UV,P_UV,manual,1998_uv/run1391.root
1392,1998_uv,P,UV,P_UV,manual,1998_uv/run1392.root
1393,1998_uv,P,UV,P_UV,manual,1998_uv/run1393.root
1394,1998_uv,P,UV,P_UV,manual,1998_uv/run1394.root
1395,1998_uv,P,UV,P_UV,manual,1998_uv/run1395.root
1396,1998_uv,P,UV,P_UV,manual,1998_uv/run1396.root
1397,1998_uv,P,UV,P_UV,manual,1998_uv/run1397.root
1398,1998_uv,P,UV,P_UV,manual,1998_uv/run1398.root
1399,1998_uv,P,UV,P_UV,manual,1998_uv/run1399.root
1400,1998_uv,P,UV,P_UV,manual,1998_uv/run1400.root
1401,1998_uv,P,UV,P_UV,manual,1998_uv/run1401.root
1402,1998_uv,P,UV,P_UV,manual,1998_uv/run1402.root
1403,1998_uv,P,UV,P_UV,manual,1998_uv/run1403.root
1405,1998_uv,P,UV,P_UV,manual,1998_uv/run1405.root
1406,1998_uv,P,UV,P_UV,manual,1998_uv/run1406.root
1407,1998_uv,P,UV,P_UV,manual,1998_uv/run1407.root
1408,1998_uv,P,UV,P_UV,manual,1998_uv/run1408.root
1409,1998_uv,P,UV,P_UV,manual,1998_uv/run1409.root
1410,1998_uv,P,UV,P_UV,manual,1998_uv/run1410.root
1411,1998_uv,P,UV,P_UV,manual,1998_uv/run1411.root
1412,1998_uv,P,UV,P_UV,manual,1998_uv/run1412.root
1414,1998_uv,P,UV,P_UV,manual,1998_uv/run1414.root
1415,1998_uv,P,UV,P_UV,manual,1998_uv/run1415.root
1416,1998_uv,P,UV,P_UV,manual,1998_uv/run1416.root
1417,1998_uv,P,UV,P_UV,manual,1998_uv/run1417.root
1418,1998_uv,P,UV,P_UV,manual,1998_uv/run1418.root
1419,1998_uv,P,UV,P_UV,manual,1998_uv/run1419.root
1420,1998_uv,P,UV,P_UV,manual,1998_uv/run1420.root
1421,1998_uv,P,UV,P_UV,manual,1998_uv/run1421.root
1422,1998_uv,P,UV,P_UV,manual,1998_uv/run1422.root
1425,1998_uv,P,UV,P_UV,manual,1998_uv/run1425.root
1426,1998_uv,P,UV,P_UV,manual,1998_uv/run1426.root
1427,1998_uv,P,UV,P_UV,manual,1998_uv/run1427.root
1428,1998_uv,P,UV,P_UV,manual,1998_uv/run1428.root
1429,1998_uv,P,UV,P_UV,manual,1998_uv/run1429.root
1430,1998_uv,P,UV,P_UV,manual,1998_uv/run1430.root
1431,1998_uv,P,UV,P_UV,manual,1998_uv/run1431.root
1432,1998_uv,P,UV,P_UV,manual,1998_uv/run1432.root
1433,1998_uv,P,UV,P_UV,manual,1998_uv/run1433.root
1434,1998_uv,P,UV,P_UV,manual,1998_uv/run1434.root
1435,1998_uv,P,UV,P_UV,manual,1998_uv/run1435.root
1436,1998_uv,P,UV,P_UV,manual,1998_uv/run1436.root
1437,1998_uv,P,UV,P_UV,manual,1998_uv/run1437.root
1438,1998_uv,P,UV,P_UV,manual,1998_uv/run1438.root
1439,1998_uv,P,UV,P_UV,manual,1998_uv/run1439.root
1440,1998_uv,P,UV,P_UV,manual,1998_uv/run1440.root
1441,1998_uv,P,UV,P_UV,manual,1998_uv/run1441.root
1442,1998_uv,P,UV,P_UV,manual,1998_uv/run1442.root
1443,1998_uv,P,UV,P_UV,manual,1998_uv/run1443.root
1444,1998_uv,P,UV,P_UV,manual,1998_uv/run1444.root
1445,1998_uv,P,UV,P_UV,manual,1998_uv/run1445.root
1446,1998_uv,P,UV,P_UV,manual,1998_uv/run1446.root
1447,1998_uv,P,UV,P_UV,manual,1998_uv/run1447.root
1448,1998_uv,P,UV,P_UV,manual,1998_uv/run1448.root
1450,1998_uv,P,UV,P_UV,manual,1998_uv/run1450.root
1451,1998_uv,P,UV,P_UV,manual,1998_uv/run1451.root
1452,1998_uv,P,UV,P_UV,manual,1998_uv/run1452.root
1453,1998_uv,P,UV,P_UV,manual,1998_uv/run1453.root
1454,1998_uv,P,UV,P_UV,manual,1998_uv/run1454.root
1455,1998_uv,P,UV,P_UV,manual,1998_uv/run1455.root
1456,1998_uv,P,UV,P_UV,manual,1998_uv/run1456.root
1457,1998_uv,P,UV,P_UV,manual,1998_uv/run1457.root
1458,1998_uv,P,UV,P_UV,manual,1998_uv/run1458.root
1459,1998_uv,P,UV,P_UV,manual,1998_uv/run1459.root
1460,1998_uv,P,UV,P_UV,manual,1998_uv/run1460.root
1461,1998_uv,P,UV,P_UV,manual,1998_uv/run1461.root
1462,1998_uv,P,UV,P_UV,manual,1998_uv/run1462.root
1463,1998_uv,P,UV,P_UV,manual,1998_uv/run1463.root
1464,1998_uv,P,UV,P_UV,manual,1998_uv/run1464.root
1465,1998_uv,P,UV,P_UV,manual,1998_uv/run1465.root
1466,1998_uv,P,UV,P_UV,manual,1998_uv/run1466.root
1467,1998_uv,P,UV,P_UV,manual,1998_uv/run1467.root
1468,1998_uv,P,UV,P_UV,manual,1998_uv/run1468.root
1470,1998_uv,P,UV,P_UV,manual,1998_uv/run1470.root
1471,1998_uv,P,UV,P_UV,manual,1998_uv/run1471.root
1472,1998_uv,P,UV,P_UV,manual,1998_uv/run1472.root
1473,1998_uv,P,UV,P_UV,manual,1998_uv/run1473.root
1474,1998_uv,P,UV,P_UV,manual,1998_uv/run1474.root
1475,1998_uv,P,UV,P_UV,manual,1998_uv/run1475.root
1476,1998_uv,P,UV,P_UV,manual,1998_uv/run1476.root
1477,1998_uv,P,UV,P_UV,manual,1998_uv/run1477.root
1478,1998_uv,P,UV,P_UV,manual,1998_uv/run1478.root
1479,1998_uv,P,UV,P_UV,manual,1998_uv/run1479.root
1480,1998_uv,P,UV,P_UV,manual,1998_uv/run1480.root
1481,1998_uv,P,UV,P_UV,manual,1998_uv/run1481.root
1482,1998_uv,P,UV,P_UV,manual,1998_uv/run1482.root
1485,1998_uv,P,UV,P_UV,manual,1998_uv/run1485.root
1486,1998_uv,P,UV,P_UV,manual,1998_uv/run1486.root
1487,1998_uv,P,UV,P_UV,manual,1998_uv/run1487.root
1488,1998_uv,P,UV,P_UV,manual,1998_uv/run1488.root
1489,1998_uv,P,UV,P_UV,manual,1998_uv/run1489.root
1490,1998_uv,P,UV,P_UV,manual,1998_uv/run1490.root
1491,1998_uv,P,UV,P_UV,manual,1998_uv/run1491.root
1492,1998_uv,P,UV,P_UV,manual,1998_uv/run1492.root
1493,1998_uv,P,UV,P_UV,manual,1998_uv/run1493.root
1494,1998_uv,P,UV,P_UV,manual,1998_uv/run1494.root
1496,1998_uv,P,UV,P_UV,manual,1998_uv/run1496.root
1497,1998_uv,P,UV,P_UV,manual,1998_uv/run1497.root
1498,1998_uv,P,UV,P_UV,manual,1998_uv/run1498.root
1499,1998_uv,P,UV,P_UV,manual,1998_uv/run1499.root
1500,1998_uv,P,UV,P_UV,manual,1998_uv/run1500.root
1501,1998_uv,P,UV,P_UV,manual,1998_uv/run1501.root
1502,1998_uv,P,UV,P_UV,manual,1998_uv/run1502.root
1503,1998_uv,P,UV,P_UV,manual,1998_uv/run1503.root
1504,1998_uv,P,UV,P_UV,manual,1998_uv/run1504.root
1505,1998_uv,P,UV,P_UV,manual,1998_uv/run1505.root
1506,1998_uv,P,UV,P_UV,manual,1998_uv/run1506.root
1507,1998_uv,P,UV,P_UV,manual,1998_uv/run1507.root
1508,1998_uv,P,UV,P_UV,manual,1998_uv/run1508.root
1509,1998_uv,P,UV,P_UV,manual,1998_uv/run1509.root
1510,1998_uv,P,UV,P_UV,manual,1998_uv/run1510.root
1511,1998_uv,P,UV,P_UV,manual,1998_uv/run1511.root
1512,1998_uv,P,UV,P_UV,manual,1998_uv/run1512.root
1513,1998_uv,P,UV,P_UV,manual,1998_uv/run1513.root
1514,1998_uv,P,UV,P_UV,manual,1998_uv/run1514.root
1515,1998_uv,P,UV,P_UV,manual,1998_uv/run1515.root
1549,1999_uv,P,UV,P_UV,manual,1999_uv/run1549.root
1550,1999_uv,P,UV,P_UV,manual,1999_uv/run1550.root
1551,1999_uv,P,UV,P_UV,manual,1999_uv/run1551.root
1552,1999_uv,P,UV,P_UV,manual,1999_uv/run1552.root
1553,1999_uv,P,UV,P_UV,manual,1999_uv/run1553.root
1554,1999_uv,P,UV,P_UV,manual,1999_uv/run1554.root
1555,1999_uv,P,UV,P_UV,manual,1999_uv/run1555.root
1556,1999_uv,P,UV,P_UV,manual,1999_uv/run1556.root
1557,1999_uv,P,UV,P_UV,manual,1999_uv/run1557.root
1558,1999_uv,P,UV,P_UV,manual,1999_uv/run1558.root
1559,1999_uv,P,UV,P_UV,manual,1999_uv/run1559.root
1560,1999_uv,P,UV,P_UV,manual,1999_uv/run1560.root
1561,1999_uv,P,UV,P_UV,manual,1999_uv/run1561.root
1562,1999_uv,P,UV,P_UV,manual,1999_uv/run1562.root
1563,1999_uv,P,UV,P_UV,manual,1999_uv/run1563.root
1564,1999_uv,P,UV,P_UV,manual,1999_uv/run1564.root
1565,1999_uv,P,UV,P_UV,manual,1999_uv/run1565.root
1566,1999_uv,P,UV,P_UV,manual,1999_uv/run1566.root
1567,1999_uv,P,UV,P_UV,manual,1999_uv/run1567.root
1568,1999_uv,P,UV,P_UV,manual,1999_uv/run1568.root
1569,1999_uv,P,UV,P_UV,manual,1999_uv/run1569.root
1570,1999_uv,P,UV,P_UV,manual,1999_uv/run1570.root
1571,1999_uv,P,UV,P_UV,manual,1999_uv/run1571.root
1572,1999_uv,P,UV,P_UV,manual,1999_uv/run1572.root
1573,1999_uv,P,UV,P_UV,manual,1999_uv/run1573.root
1574,1999_uv,P,UV,P_UV,manual,1999_uv/run1574.root
1575,1999_uv,P,UV,P_UV,manual,1999_uv/run1575.root
1576,1999_uv,P,UV,P_UV,manual,1999_uv/run1576.root
1577,1999_uv,P,UV,P_UV,manual,1999_uv/run1577.root
1578,1999_uv,P,UV,P_UV,manual,1999_uv/run1578.root
1579,1999_uv,P,UV,P_UV,manual,1999_uv/run1579.root
1580,1999_uv,P,UV,P_UV,manual,1999_uv/run1580.root
1581,1999_uv,P,UV,P_UV,manual,1999_uv/run1581.root
1582,1999_uv,P,UV,P_UV,manual,1999_uv/run1582.root
1583,1999_uv,P,UV,P_UV,manual,1999_uv/run1583.root
1585,1999_uv,P,UV,P_UV,manual,1999_uv/run1585.root
1588,1999_uv,P,UV,P_UV,manual,1999_uv/run1588.root
1589,1999_uv,P,UV,P_UV,manual,1999_uv/run1589.root
1590,1999_uv,P,UV,P_UV,manual,1999_uv/run1590.root
1591,1999_uv,P,UV,P_UV,manual,1999_uv/run1591.root
1592,1999_uv,P,UV,P_UV,manual,1999_uv/run1592.root
1593,1999_uv,P,UV,P_UV,manual,1999_uv/run1593.root
1594,1999_uv,P,UV,P_UV,manual,1999_uv/run1594.root
1595,1999_uv,P,UV,P_UV,manual,1999_uv/run1595.root
1596,1999_uv,P,UV,P_UV,manual,1999_uv/run1596.root
1597,1999_uv,P,UV,P_UV,manual,1999_uv/run1597.root
1598,1999_uv,P,UV,P_UV,manual,1999_uv/run1598.root
1599,1999_uv,P,UV,P_UV,manual,1999_uv/run1599.root
1600,1999_uv,P,UV,P_UV,manual,1999_uv/run1600.root
1601,1999_uv,P,UV,P_UV,manual,1999_uv/run1601.root
1602,1999_uv,P,UV,P_UV,manual,1999_uv/run1602.root
1603,1999_uv,P,UV,P_UV,manual,1999_uv/run1603.root
1604,1999_uv,P,UV,P_UV,manual,1999_uv/run1604.root
1605,1999_uv,P,UV,P_UV,manual,1999_uv/run1605.root
1607,1999_uv,P,UV,P_UV,manual,1999_uv/run1607.root
1608,1999_uv,P,UV,P_UV,manual,1999_uv/run1608.root
1609,1999_uv,P,UV,P_UV,manual,1999_uv/run1609.root
1610,1999_uv,P,UV,P_UV,manual,1999_uv/run1610.root
1611,1999_uv,P,UV,P_UV,manual,1999_uv/run1611.root
1612,1999_uv,P,UV,P_UV,manual,1999_uv/run1612.root
1613,1999_uv,P,UV,P_UV,manual,1999_uv/run1613.root
1616,1999_uv,P,UV,P_UV,manual,1999_uv/run1616.root
1617,1999_uv,P,UV,P_UV,manual,1999_uv/run1617.root
1618,1999_uv,P,UV,P_UV,manual,1999_uv/run1618.root
1619,1999_uv,P,UV,P_UV,manual,1999_uv/run1619.root
1622,1999_uv,P,UV,P_UV,manual,1999_uv/run1622.root
1623,1999_uv,P,UV,P_UV,manual,1999_uv/run1623.root
1624,1999_uv,P,UV,P_UV,manual,1999_uv/run1624.root
1625,1999_uv,P,UV,P_UV,manual,1999_uv/run1625.root
1627,1999_uv,P,UV,P_UV,manual,1999_uv/run1627.root
1629,1999_uv,P,UV,P_UV,manual,1999_uv/run1629.root
1630,1999_uv,P,UV,P_UV,manual,1999_uv/run1630.root
1631,1999_uv,P,UV,P_UV,manual,1999_uv/run1631.root
1632,1999_uv,P,UV,P_UV,manual,1999_uv/run1632.root
1633,1999_uv,P,UV,P_UV,manual,1999_uv/run1633.root
1635,1999_uv,P,UV,P_UV,manual,1999_uv/run1635.root
1636,1999_uv,P,UV,P_UV,manual,1999_uv/run1636.root
1637,1999_uv,P,UV,P_UV,manual,1999_uv/run1637.root
1638,1999_uv,P,UV,P_UV,manual,1999_uv/run1638.root
1639,1999_uv,P,UV,P_UV,manual,1999_uv/run1639.root
1640,1999_uv,P,UV,P_UV,manual,1999_uv/run1640.root
1641,1999_uv,P,UV,P_UV,manual,1999_uv/run1641.root
1642,1999_uv,P,UV,P_UV,manual,1999_uv/run1642.root
1644,1999_uv,P,UV,P_UV,manual,1999_uv/run1644.root
1645,1999_uv,P,UV,P_UV,manual,1999_uv/run1645.root
1646,1999_uv,P,UV,P_UV,manual,1999_uv/run1646.root
1647,1999_uv,P,UV,P_UV,manual,1999_uv/run1647.root
1648,1999_uv,P,UV,P_UV,manual,1999_uv/run1648.root
1649,1999_uv,P,UV,P_UV,manual,1999_uv/run1649.root
1650,1999_uv,P,UV,P_UV,manual,1999_uv/run1650.root
1651,1999_uv,P,UV,P_UV,manual,1999_uv/run1651.root
1652,1999_uv,P,UV,P_UV,manual,1999_uv/run1652.root
1654,1999_uv,P,UV,P_UV,manual,1999_uv/run1654.root
1655,1999_uv,P,UV,P_UV,manual,1999_uv/run1655.root
1657,1999_uv,P,UV,P_UV,manual,1999_uv/run1657.root
1658,1999_uv,P,UV,P_UV,manual,1999_uv/run1658.root
1659,1999_uv,P,UV,P_UV,manual,1999_uv/run1659.root
1660,1999_uv,P,UV,P_UV,manual,1999_uv/run1660.root
1661,1999_uv,P,UV,P_UV,manual,1999_uv/run1661.root
1662,1999_uv,P,UV,P_UV,manual,1999_uv/run1662.root
1663,1999_uv,P,UV,P_UV,manual,1999_uv/run1663.root
1664,1999_uv,P,UV,P_UV,manual,1999_uv/run1664.root
1665,1999_uv,P,UV,P_UV,manual,1999_uv/run1665.root
1666,1999_uv,P,UV,P_UV,manual,1999_uv/run1666.root
1667,1999_uv,P,UV,P_UV,manual,1999_uv/run1667.root
1668,1999_uv,P,UV,P_UV,manual,1999_uv/run1668.root
1669,1999_uv,P,UV,P_UV,manual,1999_uv/run1669.root
1670,1999_uv,P,UV,P_UV,manual,1999_uv/run1670.root
1671,1999_uv,P,UV,P_UV,manual,1999_uv/run1671.root
1672,1999_uv,P,UV,P_UV,manual,1999_uv/run1672.root
1673,1999_uv,P,UV,P_UV,manual,1999_uv/run1673.root
1674,1999_uv,P,UV,P_UV,manual,1999_uv/run1674.root
1676,1999_uv,P,UV,P_UV,manual,1999_uv/run1676.root
1678,1999_uv,P,UV,P_UV,manual,1999_uv/run1678.root
1679,1999_uv,P,UV,P_UV,manual,1999_uv/run1679.root
1680,1999_uv,P,UV,P_UV,manual,1999_uv/run1680.root
1681,1999_uv,P,UV,P_UV,manual,1999_uv/run1681.root
1682,1999_uv,P,UV,P_UV,manual,1999_uv/run1682.root
1683,1999_uv,P,UV,P_UV,manual,1999_uv/run1683.root
1684,1999_uv,P,UV,P_UV,manual,1999_uv/run1684.root
1685,1999_uv,P,UV,P_UV,manual,1999_uv/run1685.root
1686,1999_uv,P,UV,P_UV,manual,1999_uv/run1686.root
1687,1999_uv,P,UV,P_UV,manual,1999_uv/run1687.root
1689,1999_uv,P,UV,P_UV,manual,1999_uv/run1689.root
1692,1999_uv,P,UV,P_UV,manual,1999_uv/run1692.root
1693,1999_uv,P,UV,P_UV,manual,1999_uv/run1693.root
1694,1999_uv,P,UV,P_UV,manual,1999_uv/run1694.root
1695,1999_uv,P,UV,P_UV,manual,1999_uv/run1695.root
1696,1999_uv,P,UV,P_UV,manual,1999_uv/run1696.root
1697,1999_uv,P,UV,P_UV,manual,1999_uv/run1697.root
1698,1999_uv,P,UV,P_UV,manual,1999_uv/run1698.root
1699,1999_uv,P,UV,P_UV,manual,1999_uv/run1699.root
1700,1999_uv,P,UV,P_UV,manual,1999_uv/run1700.root
1702,1999_uv,P,UV,P_UV,manual,1999_uv/run1702.root
1703,1999_uv,P,UV,P_UV,manual,1999_uv/run1703.root
1704,1999_uv,P,UV,P_UV,manual,1999_uv/run1704.root
1707,1999_uv,P,UV,P_UV,manual,1999_uv/run1707.root
1708,1999_uv,P,UV,P_UV,manual,1999_uv/run1708.root
1709,1999_uv,P,UV,P_UV,manual,1999_uv/run1709.root
1710,1999_uv,P,UV,P_UV,manual,1999_uv/run1710.root
1712,1999_uv,P,UV,P_UV,manual,1999_uv/run1712.root
1713,1999_uv,P,UV,P_UV,manual,1999_uv/run1713.root
1714,1999_uv,P,UV,P_UV,manual,1999_uv/run1714.root
1715,1999_uv,P,UV,P_UV,manual,1999_uv/run1715.root
1716,1999_uv,P,UV,P_UV,manual,1999_uv/run1716.root
1717,1999_uv,P,UV,P_UV,manual,1999_uv/run1717.root
1718,1999_uv,P,UV,P_UV,manual,1999_uv/run1718.root
1719,1999_uv,P,UV,P_UV,manual,1999_uv/run1719.root
1721,1999_uv,P,UV,P_UV,manual,1999_uv/run1721.root
1722,1999_uv,P,UV,P_UV,manual,1999_uv/run1722.root
1723,1999_uv,P,UV,P_UV,manual,1999_uv/run1723.root
1724,1999_uv,P,UV,P_UV,manual,1999_uv/run1724.root
1725,1999_uv,P,UV,P_UV,manual,1999_uv/run1725.root
1726,1999_uv,P,UV,P_UV,manual,1999_uv/run1726.root
1727,1999_uv,P,UV,P_UV,manual,1999_uv/run1727.root
1728,1999_uv,P,UV,P_UV,manual,1999_uv/run1728.root
1730,1999_uv,P,UV,P_UV,manual,1999_uv/run1730.root
1735,1999_uv,P,UV,P_UV,manual,1999_uv/run1735.root
1738,1999_uv,P,UV,P_UV,manual,1999_uv/run1738.root
1740,1999_uv,P,UV,P_UV,manual,1999_uv/run1740.root
1741,1999_uv,P,UV,P_UV,manual,1999_uv/run1741.root
1742,1999_uv,P,UV,P_UV,manual,1999_uv/run1742.root
1743,1999_uv,P,UV,P_UV,manual,1999_uv/run1743.root
1744,1999_uv,P,UV,P_UV,manual,1999_uv/run1744.root
1745,1999_uv,P,UV,P_UV,manual,1999_uv/run1745.root
1746,1999_uv,P,UV,P_UV,manual,1999_uv/run1746.root
1747,1999_uv,P,UV,P_UV,manual,1999_uv/run1747.root
1748,1999_uv,P,UV,P_UV,manual,1999_uv/run1748.root
1749,1999_uv,P,UV,P_UV,manual,1999_uv/run1749.root
1750,1999_uv,P,UV,P_UV,manual,1999_uv/run1750.root
1751,1999_uv,P,UV,P_UV,manual,1999_uv/run1751.root
1752,1999_uv,P,UV,P_UV,manual,1999_uv/run1752.root
1753,1999_uv,P,UV,P_UV,manual,1999_uv/run1753.root
1754,1999_uv,P,UV,P_UV,manual,1999_uv/run1754.root
1755,1999_uv,P,UV,P_UV,manual,1999_uv/run1755.root
1756,1999_uv,P,UV,P_UV,manual,1999_uv/run1756.root
1757,1999_uv,P,UV,P_UV,manual,1999_uv/run1757.root
1758,1999_uv,P,UV,P_UV,manual,1999_uv/run1758.root
1759,1999_uv,P,UV,P_UV,manual,1999_uv/run1759.root
1768,1999_uv,P,UV,P_UV,manual,1999_uv/run1768.root
1769,1999_uv,P,UV,P_UV,manual,1999_uv/run1769.root
1770,1999_uv,P,UV,P_UV,manual,1999_uv/run1770.root
1771,1999_uv,P,UV,P_UV,manual,1999_uv/run1771.root
1772,1999_uv,P,UV,P_UV,manual,1999_uv/run1772.root
1773,1999_uv,P,UV,P_UV,manual,1999_uv/run1773.root
1774,1999_uv,P,UV,P_UV,manual,1999_uv/run1774.root
1775,1999_uv,P,UV,P_UV,manual,1999_uv/run1775.root
1776,1999_uv,P,UV,P_UV,manual,1999_uv/run1776.root
1777,1999_uv,P,UV,P_UV,manual,1999_uv/run1777.root
1782,1999_uv,P,UV,P_UV,manual,1999_uv/run1782.root
1783,1999_uv,P,UV,P_UV,manual,1999_uv/run1783.root
1784,1999_uv,P,UV,P_UV,manual,1999_uv/run1784.root
1785,1999_uv,P,UV,P_UV,manual,1999_uv/run1785.root
1786,1999_uv,P,UV,P_UV,manual,1999_uv/run1786.root
1787,1999_uv,P,UV,P_UV,manual,1999_uv/run1787.root
1788,1999_uv,P,UV,P_UV,manual,1999_uv/run1788.root
1789,1999_uv,P,UV,P_UV,manual,1999_uv/run1789.root
1790,1999_uv,P,UV,P_UV,manual,1999_uv/run1790.root
1791,1999_uv,P,UV,P_UV,manual,1999_uv/run1791.root
1792,1999_uv,P,UV,P_UV,manual,1999_uv/run1792.root
1793,1999_uv,P,UV,P_UV,manual,1999_uv/run1793.root
1794,1999_uv,P,UV,P_UV,manual,1999_uv/run1794.root
1795,1999_uv,P,UV,P_UV,manual,1999_uv/run1795.root
1797,1999_uv,P,UV,P_UV,manual,1999_uv/run1797.root
1798,1999_uv,P,UV,P_UV,manual,1999_uv/run1798.root
1799,1999_uv,P,UV,P_UV,manual,1999_uv/run1799.root
1801,1999_uv,P,UV,P_UV,manual,1999_uv/run1801.root
1802,1999_uv,P,UV,P_UV,manual,1999_uv/run1802.root
1803,1999_uv,P,UV,P_UV,manual,1999_uv/run1803.root
1804,1999_uv,P,UV,P_UV,manual,1999_uv/run1804.root
1805,1999_uv,P,UV,P_UV,manual,1999_uv/run1805.root
1808,1999_uv,P,UV,P_UV,manual,1999_uv/run1808.root
1809,1999_uv,P,UV,P_UV,manual,1999_uv/run1809.root
1810,1999_uv,P,UV,P_UV,manual,1999_uv/run1810.root
1812,1999_uv,P,UV,P_UV,manual,1999_uv/run1812.root
1813,1999_uv,P,UV,P_UV,manual,1999_uv/run1813.root
1814,1999_uv,P,UV,P_UV,manual,1999_uv/run1814.root
1815,1999_uv,P,UV,P_UV,manual,1999_uv/run1815.root
1817,1999_uv,P,UV,P_UV,manual,1999_uv/run1817.root
1818,1999_uv,P,UV,P_UV,manual,1999_uv/run1818.root
1820,1999_uv,P,UV,P_UV,manual,1999_uv/run1820.root
1821,1999_uv,P,UV,P_UV,manual,1999_uv/run1821.root
1822,1999_uv,P,UV,P_UV,manual,1999_uv/run1822.root
1823,1999_uv,P,UV,P_UV,manual,1999_uv/run1823.root
1824,1999_uv,P,UV,P_UV,manual,1999_uv/run1824.root
1826,1999_uv,P,UV,P_UV,manual,1999_uv/run1826.root
1827,1999_uv,P,UV,P_UV,manual,1999_uv/run1827.root
1828,1999_uv,P,UV,P_UV,manual,1999_uv/run1828.root
1829,1999_uv,P,UV,P_UV,manual,1999_uv/run1829.root
1831,1999_uv,P,UV,P_UV,manual,1999_uv/run1831.root
1833,1999_uv,P,UV,P_UV,manual,1999_uv/run1833.root
1834,1999_uv,P,UV,P_UV,manual,1999_uv/run1834.root
